<?[a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,4}>?	EMAIL	2
historian	TITLE	MISC	1
hitman	TITLE	MISC	1
homeopath	TITLE	MISC	1
hornist	TITLE	MISC	1
host	TITLE	MISC	1
hostess	TITLE	MISC	1
hotel manager	TITLE	MISC	2
hotel-manager	TITLE	MISC	2
hotelier	TITLE	MISC	1
house painter	TITLE	MISC	2
house-painter	TITLE	MISC	2
housekeeper	TITLE	MISC	1
housewife	TITLE	MISC	1
homeowner	TITLE	MISC	1
hunter	TITLE	MISC	1
hydraulic engineer	TITLE	MISC	2
hydraulic-engineer	TITLE	MISC	2
ice cream man	TITLE	MISC	3
ice-cream-man	TITLE	MISC	3
illuminator	TITLE	MISC	1
illusionist	TITLE	MISC	1
illustrator	TITLE	MISC	1
image consultant	TITLE	MISC	2
image-consultant	TITLE	MISC	2
imam	TITLE	MISC	1
imPERSONator	TITLE	MISC	1
importer	TITLE	MISC	1
industrial engineer	TITLE	MISC	2
industrial-engineer	TITLE	MISC	2
industrialist	TITLE	MISC	1
information technologist	TITLE	MISC	2
information-technologist	TITLE	MISC	2
information broker	TITLE	MISC	2
information-broker	TITLE	MISC	2
inker	TITLE	MISC	1
innkeeper	TITLE	MISC	1
instructor	TITLE	MISC	1
insurer	TITLE	MISC	1
intelligence officer	TITLE	MISC	2
intelligence-officer	TITLE	MISC	2
interior designer	TITLE	MISC	2
interior-designer	TITLE	MISC	2
internist	TITLE	MISC	1
interpreter	TITLE	MISC	1
interrogator	TITLE	MISC	1
inventor	TITLE	MISC	1
investment banker	TITLE	MISC	2
investment-banker	TITLE	MISC	2
investment broker	TITLE	MISC	2
investment-broker	TITLE	MISC	2
ironmonger	TITLE	MISC	1
ironmaster	TITLE	MISC	1
ironworker	TITLE	MISC	1
jailer	TITLE	MISC	1
janitor	TITLE	MISC	1
jeweller	TITLE	MISC	1
jockey	TITLE	MISC	1
joggler	TITLE	MISC	1
joiner	TITLE	MISC	1
joker	TITLE	MISC	1
journalist	TITLE	MISC	1
judge	TITLE	MISC	1
juggler	TITLE	MISC	1
jurist	TITLE	MISC	1
karate master	TITLE	MISC	2
karate-master	TITLE	MISC	2
kickboxer	TITLE	MISC	1
kindergarten teacher	TITLE	MISC	2
kindergarten-teacher	TITLE	MISC	2
kinesiologist	TITLE	MISC	1
king	TITLE	MISC	1
laboratory worker	TITLE	MISC	2
laboratory-worker	TITLE	MISC	2
laborer	TITLE	MISC	1
lady-in-waiting	TITLE	MISC	1
lady in waiting	TITLE	MISC	1
landlord	TITLE	MISC	1
landlady	TITLE	MISC	1
laundress	TITLE	MISC	1
lavendar	TITLE	MISC	1
law enforcement agent	TITLE	MISC	3
law-enforcement-agent	TITLE	MISC	3
lawyer	TITLE	MISC	1
leadworker	TITLE	MISC	1
leatherer	TITLE	MISC	1
leather worker	TITLE	MISC	2
leather-worker	TITLE	MISC	2
lecturer	TITLE	MISC	1
legislator	TITLE	MISC	1
level designer	TITLE	MISC	2
level-designer	TITLE	MISC	2
librarian	TITLE	MISC	1
librarianship	TITLE	MISC	1
librettist	TITLE	MISC	1
lifeguard	TITLE	MISC	1
lighthouse keeper	TITLE	MISC	2
lighthouse-keeper	TITLE	MISC	2
lighting technician	TITLE	MISC	2
lighting-technician	TITLE	MISC	2
lineman	TITLE	MISC	1
linguist	TITLE	MISC	1
loan officer	TITLE	MISC	2
loan-officer	TITLE	MISC	2
lobbyist	TITLE	MISC	1
locksmith	TITLE	MISC	1
logistician	TITLE	MISC	1
lumberjack	TITLE	MISC	1
lyricist	TITLE	MISC	1
magistrate	TITLE	MISC	1
magician	TITLE	MISC	1
magnate	TITLE	MISC	1
maid	TITLE	MISC	1
mailman or mail carrier	TITLE	MISC	4
mailman-or-mail-carrier	TITLE	MISC	4
make-up artist	TITLE	MISC	2
make up artist	TITLE	MISC	2
make-up-artist	TITLE	MISC	2
management consultant	TITLE	MISC	2
management-consultant	TITLE	MISC	2
manager	TITLE	MISC	1
manicurist	TITLE	MISC	1
manservant	TITLE	MISC	1
manual therapist	TITLE	MISC	2
manual-therapist	TITLE	MISC	2
manufacturer	TITLE	MISC	1
marine	TITLE	MISC	1
marine biologist	TITLE	MISC	2
marine-biologist	TITLE	MISC	2
market gardener	TITLE	MISC	2
market-gardener	TITLE	MISC	2
marketing manager	TITLE	MISC	2
marketing-manager	TITLE	MISC	2
marksman	TITLE	MISC	1
marshal	TITLE	MISC	1
martial artist	TITLE	MISC	2
martial-artist	TITLE	MISC	2
mason	TITLE	MISC	1
master of business administration	TITLE	MISC	4
master-of-business-administration	TITLE	MISC	4
master of ceremony	TITLE	MISC	3
master-of-ceremony	TITLE	MISC	3
massage therapist	TITLE	MISC	2
massage-therapist	TITLE	MISC	2
masseuse	TITLE	MISC	1
masseur	TITLE	MISC	1
matador	TITLE	MISC	1
mathematician	TITLE	MISC	1
matron	TITLE	MISC	1
mayor	TITLE	MISC	1
mechanic	TITLE	MISC	1
mechanical engineer	TITLE	MISC	2
mechanical-engineer	TITLE	MISC	2
mechanician	TITLE	MISC	1
mediator	TITLE	MISC	1
medic	TITLE	MISC	1
medical biller	TITLE	MISC	2
medical-biller	TITLE	MISC	2
medical laboratory scientist	TITLE	MISC	3
medical-laboratory-scientist	TITLE	MISC	3
medical transcriptionist	TITLE	MISC	2
medical-transcriptionist	TITLE	MISC	2
mercer	TITLE	MISC	1
merchant	TITLE	MISC	1
mesmerist	TITLE	MISC	1
messenger	TITLE	MISC	1
meteorologist	TITLE	MISC	1
mid-wife	TITLE	MISC	1
mid wife	TITLE	MISC	1
milkman	TITLE	MISC	1
milkmaid	TITLE	MISC	1
miller	TITLE	MISC	1
miner	TITLE	MISC	1
minister	TITLE	MISC	1
transport minister	TITLE	MISC	2
transport-minister	TITLE	MISC	2
missionary	TITLE	MISC	1
mobile	TITLE	MISC	1
mobster	TITLE	MISC	1
model	TITLE	MISC	1
movie star	TITLE	MISC	1
movie-star	TITLE	MISC	1
film star	TITLE	MISC	1
film-star	TITLE	MISC	1
tv star	TITLE	MISC	1
tv-star	TITLE	MISC	1
television star	TITLE	MISC	1
television-star	TITLE	MISC	1
spokesman	TITLE	MISC	1
businessman	TITLE	MISC	1
producer	TITLE	MISC	1
lawmaker	TITLE	MISC	1
first lady	TITLE	MISC	1
trainer	TITLE	MISC	1
sportswriter	TITLE	MISC	1
filmmaker	TITLE	MISC	1
chief operating officer	TITLE	MISC	1
cleric	TITLE	MISC	1
songwriter	TITLE	MISC	1
reporter	TITLE	MISC	1
bowler	TITLE	MISC	1
newsman	TITLE	MISC	1
cricketer	TITLE	MISC	1
scholar	TITLE	MISC	1
supermodel	TITLE	MISC	1
modeller	TITLE	MISC	1
moldmaker	TITLE	MISC	1
mouldmaker	TITLE	MISC	1
moneychanger	TITLE	MISC	1
moneylender	TITLE	MISC	1
monk	TITLE	MISC	1
moonlighter	TITLE	MISC	1
mortgage broker	TITLE	MISC	2
mortgage-broker	TITLE	MISC	2
mountaineer	TITLE	MISC	1
muralist	TITLE	MISC	1
music educator	TITLE	MISC	2
music-educator	TITLE	MISC	2
music director	TITLE	MISC	2
music-director	TITLE	MISC	2
musician	TITLE	MISC	1
nanny	TITLE	MISC	1
nursemaid	TITLE	MISC	1
navigator	TITLE	MISC	1
négociant	TITLE	MISC	1
negotiator	TITLE	MISC	1
netmaker	TITLE	MISC	1
neurologist	TITLE	MISC	1
newscaster	TITLE	MISC	1
night auditor	TITLE	MISC	2
night-auditor	TITLE	MISC	2
nightwatchmen	TITLE	MISC	1
notary	TITLE	MISC	1
novelist	TITLE	MISC	1
numerologist	TITLE	MISC	1
numismatist	TITLE	MISC	1
nun	TITLE	MISC	1
nursemaid	TITLE	MISC	1
nurse	TITLE	MISC	1
nutritionist	TITLE	MISC	1
oboist	TITLE	MISC	1
obstetrician	TITLE	MISC	1
oceanographer	TITLE	MISC	1
chief design officer	TITLE	MISC	1
senior vice president	TITLE	MISC	3
occupational therapist	TITLE	MISC	2
occupational-therapist	TITLE	MISC	2
ocularist	TITLE	MISC	1
odontologist	TITLE	MISC	1
oenologist	TITLE	MISC	1
oncologist	TITLE	MISC	1
operator	TITLE	MISC	1
ophthalmologist	TITLE	MISC	1
optician	TITLE	MISC	1
optometrist	TITLE	MISC	1
oracle	TITLE	MISC	1
ordinary seaman	TITLE	MISC	2
ordinary-seaman	TITLE	MISC	2
organizer	TITLE	MISC	1
orthodontist	TITLE	MISC	1
orthopaedist	TITLE	MISC	1
ornithologist	TITLE	MISC	1
ostler	TITLE	MISC	1
otorhinolaryngologist	TITLE	MISC	1
painter	TITLE	MISC	1
paleontologist	TITLE	MISC	1
paleoseismologist	TITLE	MISC	1
paralegal	TITLE	MISC	1
paramedic	TITLE	MISC	1
park ranger	TITLE	MISC	2
park-ranger	TITLE	MISC	2
parole officer	TITLE	MISC	2
parole-officer	TITLE	MISC	2
party-leader	TITLE	MISC	1
party leader	TITLE	MISC	1
pastor	TITLE	MISC	1
patent attorney	TITLE	MISC	2
patent-attorney	TITLE	MISC	2
patent examiner	TITLE	MISC	2
patent-examiner	TITLE	MISC	2
pathologist	TITLE	MISC	1
pawnbroker	TITLE	MISC	1
peddler	TITLE	MISC	1
pediatrician	TITLE	MISC	1
pedologist -lrb-soil-rrb-	TITLE	MISC	2
pedologist lrb soil rrb 	TITLE	MISC	2
pedologist--lrb-soil-rrb-	TITLE	MISC	2
percussionist	TITLE	MISC	1
perfumer	TITLE	MISC	1
PERSONal trainer	TITLE	MISC	2
PERSONal-trainer	TITLE	MISC	2
pharmacist	TITLE	MISC	1
philanthropist	TITLE	MISC	1
philologist	TITLE	MISC	1
philosopher	TITLE	MISC	1
photographer	TITLE	MISC	1
photographer assistant	TITLE	MISC	2
photographer-assistant	TITLE	MISC	2
physical therapist	TITLE	MISC	2
physical-therapist	TITLE	MISC	2
physician	TITLE	MISC	1
physician assistant	TITLE	MISC	2
physician-assistant	TITLE	MISC	2
physicist	TITLE	MISC	1
physiognomist	TITLE	MISC	1
physiologist	TITLE	MISC	1
physiotherapist	TITLE	MISC	1
pianist	TITLE	MISC	1
piano tuner	TITLE	MISC	2
piano-tuner	TITLE	MISC	2
pilot	TITLE	MISC	1
pilot -lrb-shipping-rrb-	TITLE	MISC	2
pilot lrb shipping rrb 	TITLE	MISC	2
pilot--lrb-shipping-rrb-	TITLE	MISC	2
pimp	TITLE	MISC	1
pirate	TITLE	MISC	1
plasterer	TITLE	MISC	1
plumber	TITLE	MISC	1
podiatrist	TITLE	MISC	1
poet	TITLE	MISC	1
poetrist	TITLE	MISC	1
poker player	TITLE	MISC	2
poker-player	TITLE	MISC	2
poll-taker	TITLE	MISC	1
