<?[a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,4}>?	EMAIL	2
hatter	TITLE	MISC	1
headmaster	TITLE	MISC	1
headmistress	TITLE	MISC	1
health inspector	TITLE	MISC	2
health-inspector	TITLE	MISC	2
herder	TITLE	MISC	1
historian	TITLE	MISC	1
hitman	TITLE	MISC	1
homeopath	TITLE	MISC	1
hornist	TITLE	MISC	1
host	TITLE	MISC	1
hostess	TITLE	MISC	1
hotel manager	TITLE	MISC	2
hotel-manager	TITLE	MISC	2
hotelier	TITLE	MISC	1
house painter	TITLE	MISC	2
house-painter	TITLE	MISC	2
housekeeper	TITLE	MISC	1
housewife	TITLE	MISC	1
homeowner	TITLE	MISC	1
hunter	TITLE	MISC	1
hydraulic engineer	TITLE	MISC	2
hydraulic-engineer	TITLE	MISC	2
ice cream man	TITLE	MISC	3
ice-cream-man	TITLE	MISC	3
illuminator	TITLE	MISC	1
illusionist	TITLE	MISC	1
illustrator	TITLE	MISC	1
image consultant	TITLE	MISC	2
image-consultant	TITLE	MISC	2
imam	TITLE	MISC	1
imPERSONator	TITLE	MISC	1
importer	TITLE	MISC	1
industrial engineer	TITLE	MISC	2
industrial-engineer	TITLE	MISC	2
industrialist	TITLE	MISC	1
information technologist	TITLE	MISC	2
information-technologist	TITLE	MISC	2
information broker	TITLE	MISC	2
information-broker	TITLE	MISC	2
inker	TITLE	MISC	1
innkeeper	TITLE	MISC	1
instructor	TITLE	MISC	1
insurer	TITLE	MISC	1
intelligence officer	TITLE	MISC	2
intelligence-officer	TITLE	MISC	2
interior designer	TITLE	MISC	2
interior-designer	TITLE	MISC	2
internist	TITLE	MISC	1
interpreter	TITLE	MISC	1
interrogator	TITLE	MISC	1
inventor	TITLE	MISC	1
investment banker	TITLE	MISC	2
investment-banker	TITLE	MISC	2
investment broker	TITLE	MISC	2
investment-broker	TITLE	MISC	2
